alpha_id,sync_id,eligibility_status,reasons,source
0mz2z2dq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz32dp1,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz3GkP6,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz3NL1p,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz3P0eK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz52vOv,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz5aQgK,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz72w56,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz7MWLv,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz8JMd8,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz8VAZ2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz92X5G,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mz9n7O6,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzE5nNr,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzEP2kk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzEW3Op,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzEYmx2,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzG26e8,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzGKKRq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzJR371,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzLAzvq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzMM31q,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzN66xq,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzN6nj6,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
0mzNKbnk,be3f8a22124ddf09f7b95f6a,UNKNOWN_BLOCKED,ELIGIBILITY_SNAPSHOT_MISSING,CURRENT_PLATFORM_LEDGER_AND_SNAPSHOT
