2026-05-16T14:14:06Z [supervisor] start max_restarts=200 loop_args=['--batch-size', '120', '--inter-cycle-sleep', '120', '--resilient-async', '--no-prebatch-recheck']
2026-05-16T16:16:40Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:16:40Z [supervisor] restart in 90s (attempt 6)
2026-05-16T16:18:10Z [supervisor] launch restart#6 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:18:10Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:18:10Z [supervisor] restart in 90s (attempt 7)
2026-05-16T16:19:40Z [supervisor] launch restart#7 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:19:40Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:19:40Z [supervisor] restart in 90s (attempt 8)
2026-05-16T16:21:10Z [supervisor] launch restart#8 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:21:10Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:21:10Z [supervisor] restart in 90s (attempt 9)
2026-05-16T16:22:40Z [supervisor] launch restart#9 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:22:40Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:22:40Z [supervisor] restart in 90s (attempt 10)
2026-05-16T16:24:10Z [supervisor] launch restart#10 cmd=C:\Users\Windows11\Desktop\alpha\.venv\Scripts\python.exe C:\Users\Windows11\Desktop\alpha\run_pipeline_loop.py --batch-size 120 --inter-cycle-sleep 120 --resilient-async --no-prebatch-recheck
2026-05-16T16:24:10Z [supervisor] exited rc=2 elapsed=0s
2026-05-16T16:24:10Z [supervisor] restart in 90s (attempt 11)
